State,Year,Quarter,Brand,Registered Users,Percentage
Arunachal Pradesh,2020,1,OnePlus,"1,696",1%
Arunachal Pradesh,2020,1,Others,"9,566",6%
Arunachal Pradesh,2020,2,Xiaomi,"41,662",23%
Arunachal Pradesh,2020,2,Vivo,"39,089",22%
Arunachal Pradesh,2020,2,Samsung,"34,984",20%
Arunachal Pradesh,2020,2,Oppo,"27,629",16%
Arunachal Pradesh,2020,2,Realme,"11,596",7%
Arunachal Pradesh,2020,2,Apple,"3,398",2%
Arunachal Pradesh,2020,2,Gionee,"2,355",1%
Arunachal Pradesh,2020,2,Huawei,"2,019",1%
Arunachal Pradesh,2020,2,Motorola,"1,873",1%
Arunachal Pradesh,2020,2,OnePlus,"1,809",1%
Arunachal Pradesh,2020,2,Others,"11,120",6%
Arunachal Pradesh,2020,3,Xiaomi,"47,870",23%
Arunachal Pradesh,2020,3,Vivo,"46,799",23%
Arunachal Pradesh,2020,3,Samsung,"40,403",20%
Arunachal Pradesh,2020,3,Oppo,"32,287",16%
Arunachal Pradesh,2020,3,Realme,"13,982",7%
Arunachal Pradesh,2020,3,Apple,"3,738",2%
Arunachal Pradesh,2020,3,Gionee,"2,514",1%
Arunachal Pradesh,2020,3,Huawei,"2,276",1%
Arunachal Pradesh,2020,3,Motorola,"1,997",1%
Arunachal Pradesh,2020,3,OnePlus,"1,965",1%
Arunachal Pradesh,2020,3,Others,"12,215",6%
Arunachal Pradesh,2020,4,Vivo,"53,198",23%
Arunachal Pradesh,2020,4,Xiaomi,"53,097",23%
Arunachal Pradesh,2020,4,Samsung,"45,317",20%
Arunachal Pradesh,2020,4,Oppo,"36,466",16%
Arunachal Pradesh,2020,4,Realme,"16,419",7%
Arunachal Pradesh,2020,4,Apple,"4,188",2%
Arunachal Pradesh,2020,4,Gionee,"2,611",1%
Arunachal Pradesh,2020,4,Huawei,"2,424",1%
Arunachal Pradesh,2020,4,Motorola,"2,149",1%
Arunachal Pradesh,2020,4,OnePlus,"2,141",1%
Arunachal Pradesh,2020,4,Others,"13,282",6%
Arunachal Pradesh,2021,1,Vivo,"58,748",23%
Arunachal Pradesh,2021,1,Xiaomi,"57,405",23%
Arunachal Pradesh,2021,1,Samsung,"48,405",19%
Arunachal Pradesh,2021,1,Oppo,"39,602",16%
Arunachal Pradesh,2021,1,Realme,"18,658",7%
Arunachal Pradesh,2021,1,Apple,"4,560",2%
Arunachal Pradesh,2021,1,Gionee,"2,611",1%
Arunachal Pradesh,2021,1,Huawei,"2,526",1%
Arunachal Pradesh,2021,1,OnePlus,"2,342",1%
Arunachal Pradesh,2021,1,Motorola,"2,224",1%
Arunachal Pradesh,2021,1,Others,"14,159",6%
Arunachal Pradesh,2021,2,Vivo,"63,439",23%
Arunachal Pradesh,2021,2,Xiaomi,"61,629",23%
Arunachal Pradesh,2021,2,Samsung,"51,110",19%
Arunachal Pradesh,2021,2,Oppo,"42,407",16%
Arunachal Pradesh,2021,2,Realme,"22,481",8%
Arunachal Pradesh,2021,2,Apple,"5,062",2%
Arunachal Pradesh,2021,2,OnePlus,"2,622",1%
Arunachal Pradesh,2021,2,Gionee,"2,510",1%
Arunachal Pradesh,2021,2,Huawei,"2,408",1%
Arunachal Pradesh,2021,2,Motorola,"2,229",1%
Arunachal Pradesh,2021,2,Others,"14,675",5%
Assam,2018,1,Xiaomi,"101,793",26%
Assam,2018,1,Samsung,"61,603",16%
Assam,2018,1,Vivo,"50,781",13%
Assam,2018,1,Oppo,"40,778",11%
Assam,2018,1,Realme,"26,387",7%
Assam,2018,1,Lenovo,"9,294",2%
Assam,2018,1,Gionee,"9,094",2%
Assam,2018,1,Motorola,"8,922",2%
Assam,2018,1,Apple,"8,319",2%
Assam,2018,1,Asus,"7,905",2%
Assam,2018,1,Others,"60,361",16%
