State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Manipur,2020,4,"1,627,852","5,602,224,558","3,441","288,772","3,783,432"
Manipur,2021,1,"2,303,535","7,070,287,514","3,069","312,668","3,709,227"
Manipur,2021,2,"3,086,275","7,889,827,962","2,556","335,409","7,269,002"
Meghalaya,2018,1,"49,571","66,250,260","1,336","18,513",0
Meghalaya,2018,2,"67,857","117,004,668","1,724","26,618",0
Meghalaya,2018,3,"110,290","209,853,662","1,903","37,281",0
Meghalaya,2018,4,"161,132","337,585,679","2,095","49,634",0
Meghalaya,2019,1,"208,741","399,037,162","1,912","61,487",0
Meghalaya,2019,2,"232,286","492,931,289","2,122","74,746","395,764"
Meghalaya,2019,3,"306,550","612,218,602","1,997","87,395","1,387,814"
Meghalaya,2019,4,"365,981","742,436,472","2,029","100,030","1,490,542"
Meghalaya,2020,1,"502,283","1,120,134,841","2,230","113,814","1,716,211"
Meghalaya,2020,2,"635,395","1,153,735,154","1,816","136,211","2,205,253"
Meghalaya,2020,3,"597,579","1,237,059,001","2,070","157,741","2,384,534"
Meghalaya,2020,4,"754,008","1,804,242,572","2,393","176,447","2,745,917"
Meghalaya,2021,1,"747,646","2,055,515,278","2,749","190,869","2,939,026"
Meghalaya,2021,2,"909,594","2,193,617,255","2,412","205,686","7,290,804"
Mizoram,2018,1,"18,561","45,227,220","2,437","7,593",0
Mizoram,2018,2,"27,051","83,508,406","3,087","10,422",0
Mizoram,2018,3,"39,316","116,600,738","2,966","14,502",0
Mizoram,2018,4,"55,242","190,426,853","3,447","19,365",0
Mizoram,2019,1,"70,306","218,160,895","3,103","23,670",0
Mizoram,2019,2,"75,671","248,016,708","3,278","28,696","133,025"
Mizoram,2019,3,"98,094","278,793,900","2,842","34,134","457,834"
Mizoram,2019,4,"125,239","368,689,351","2,944","39,809","529,168"
Mizoram,2020,1,"153,609","392,077,579","2,552","46,499","644,683"
Mizoram,2020,2,"198,462","457,193,433","2,304","55,574","739,308"
Mizoram,2020,3,"254,703","707,944,176","2,779","68,315","924,865"
Mizoram,2020,4,"322,607","986,522,116","3,058","78,731","1,096,182"
Mizoram,2021,1,"329,575","1,101,105,587","3,341","85,750","1,193,214"
Mizoram,2021,2,"394,340","1,122,874,473","2,847","92,552","4,014,597"
Nagaland,2018,1,"42,845","78,005,891","1,821","15,074",0
Nagaland,2018,2,"65,599","153,325,578","2,337","22,436",0
Nagaland,2018,3,"94,371","241,792,743","2,562","32,090",0
